class,instancecount
Ambassador,904
Gymnast,3799
SkiArea,757
Archbishop,728
RugbyClub,2612
Zoo,412
Factory,404
MusicFestival,414
SquashPlayer,763
SpeedwayTeam,122
BaseballTeam,37
Year,3726
Pope,399
Gate,190
WaterRide,88
BullFighter,37
Rebellion,148
Vaccine,50
FieldHockeyLeague,94
VideogamesLeague,2
CurlingLeague,1
